label	content
positive	originality ain't on the menu , but there's never a dull moment in the giant spider invasion comic chiller . 
positive	an absorbing and unsettling psychological drama . 
positive	high crimes steals so freely from other movies and combines enough disparate types of films that it can't help but engage an audience . 
negative	a frantic search for laughs , with a hit-to-miss ratio that doesn't exactly favour the audience . 
positive	the work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them . strange occurrences build in the mind of the viewer and take on extreme urgency . 
negative	yet another movie which presumes that high school social groups are at war , let alone conscious of each other's existence . 
positive	writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear . 
positive	sharp , lively , funny and ultimately sobering film . 
positive	to the film's credit , the acting is fresh and unselfconscious , and munch is a marvel of reality versus sappy sentiment . 
negative	the balkans provide the obstacle course for the love of a good woman . 
negative	imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno . 
negative	mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity . 
negative	has a customarily jovial air but a deficit of flim-flam inventiveness . 
positive	may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today . 
negative	the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business . 
negative	it treats women like idiots . 
positive	it's a very valuable film . . . 
negative	every note rings false . 
positive	a tour de force of modern cinema . 
negative	a sentimental mess that never rings true . 
positive	this is one of those rare docs that paints a grand picture of an era and makes the journey feel like a party . 
positive	a lean , deftly shot , well-acted , weirdly retro thriller that recalls a raft of '60s and '70s european-set spy pictures . 
positive	it may not be history – but then again , what if it is ? – but it makes for one of the most purely enjoyable and satisfying evenings at the movies i've had in a while . 
positive	george lucas returns as a visionary with a tale full of nuance and character dimension . 
positive	got a david lynch jones ? then you'd do well to check this one out because it's straight up twin peaks action . . . 
positive	the pain , loneliness and insecurity of the screenwriting process are vividly and painfully brought to slovenly life in this self-deprecating , biting and witty feature written by charlie kaufman and his twin brother , donald , and directed by spike jonze . 
positive	it's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . 
negative	 . . . jones , despite a definitely distinctive screen presence , just isn't able to muster for a movie that , its title notwithstanding , should have been a lot nastier if it wanted to fully capitalize on its lead's specific gifts . 
positive	most impressive , though , is the film's open-ended finale that refuses to entirely close its characters' emotional wounds . 
positive	the movie is pretty funny now and then without in any way demeaning its subjects . 
negative	the holiday message of the 37-minute santa vs . the snowman leaves a lot to be desired . 
negative	theology aside , why put someone who ultimately doesn't learn at the center of a kids' story ? 
positive	sweetly sexy , funny and touching . 
negative	 . . . an hour-and-a-half of inoffensive , unmemorable filler . 
negative	a bravura exercise in emptiness . 
positive	exploits [headbanger] stereotypes in good fun , while adding a bit of heart and unsettling subject matter . 
negative	circuit queens won't learn a thing , they'll be too busy cursing the film's strategically placed white sheets . 
positive	land , people and narrative flow together in a stark portrait of motherhood deferred and desire explored . 
positive	the kind of sense of humor that derives from a workman's grasp of pun and entendre and its attendant need to constantly draw attention to itself . 
negative	sorority boys , which is as bad at it is cruel , takes every potential laugh and stiletto-stomps the life out of it . 
negative	van wilder has a built-in audience , but only among those who are drying out from spring break and are still unconcerned about what they ingest . 
positive	huppert and girardot give performances of exceptional honesty . 
positive	don't plan on the perfect ending , but sweet home alabama hits the mark with critics who escaped from a small town life . 
negative	there are many definitions of 'time waster' but this movie must surely be one of them . 
negative	statham employs an accent that i think is supposed to be an attempt at hardass american but sometimes just lapses into unhidden british . 
positive	miyazaki has created such a vibrant , colorful world , it's almost impossible not to be swept away by the sheer beauty of his images . 
positive	if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film . 
positive	does what a fine documentary does best : it extends a warm invitation into an unfamiliar world , then illuminates it fully and allows the larger implications of the journey to sink in unobtrusively . 
